"Depth","Variable","mean","sd","se"
20,"Age",1634.505381683,5273.46844775187,123.612007021604
20,"Tau",78.6438674033149,352.578373910746,8.28736340019073
40,"Age",2401.54497941223,5978.85015360976,155.307907047399
40,"Tau",211.096022099448,500.649153001353,11.767770725411
60,"Age",2893.22307234726,6179.20468840976,168.176650031305
60,"Tau",859.478563535912,5467.41750122659,128.51178360899
80,"Age",4016.60425010431,8434.92506759187,248.086031399761
80,"Tau",1699.87160220994,19189.7028255221,451.054439592563
100,"Age",4539.04541690727,8846.53452902666,296.536511144692
100,"Tau",2007.66386740331,16764.3989505951,394.047612019811
